Symbol,Company Name,Industry,Market Cap
ANVS,Annovis Bio,Biotechnology,105.63M
ANY,Sphere 3D,Software,126.39M
ANZU,Anzu Special Acquisition I,Blank Check / SPAC,515.84M
AOMR,Angel Oak Mortgage,REIT-Mortgage,428.87M
AON,Aon plc,Insurance,58.70B
AOS,A. O. Smith,Building Products,12.23B
AOSL,Alpha &amp; Omega Semiconductor,Semiconductors &amp; Semiconductor Equipment,1.13B
AOUT,American Outdoor Brands,Leisure Products,229.09M
AP,Ampco-Pittsburgh,Metals &amp; Mining,103.87M
APA,APA Corporation,"Oil, Gas &amp; Consumable Fuels",10.93B
APAC,Stonebridge Acquisition,Blank Check / SPAC,247.25M
APAM,Artisan Partners Asset Management,Capital Markets,2.75B
APCX,AppTech Payments,Software-Infrastructure,30.01M
APD,Air Products &amp; Chemicals,Chemicals,62.62B
APDN,Applied DNA Sciences,"Electronic Equipment, Instruments &amp; C...",27.70M
APEI,American Public Education,Diversified Consumer Services,378.49M
APEN,Apollo Endosurgery,Health Care Equipment &amp; Supplies,219.18M
APG,APi Group,Construction &amp; Engineering,5.13B
APGB,Apollo Strategic Growth Capital II,Blank Check / SPAC,838.35M
APH,Amphenol,"Electronic Equipment, Instruments &amp; C...",46.07B
API,Agora,"Electronic Equipment, Instruments &amp; C...",1.35B
APLE,Apple Hospitality REIT,"Equity Real Estate 
Investment Trusts...",3.64B
APLS,Apellis Pharmaceuticals,Biotechnology,3.45B
APLT,Applied Therapeutics,Biotechnology,83.10M
APM,Aptorum Group,Biotechnology,52.73M
APMI,AxonPrime Infrastructure Acquisition,Blank Check / SPAC,182.44M
APN,Apeiron Capital Investment,Blank Check / SPAC,185.63M
APO,Apollo Global Management,Capital Markets,39.54B
APOG,Apogee Enterprises,Building Products,1.14B
APP,AppLovin,Software-Application,25.63B
APPF,AppFolio,Software,3.84B
APPH,AppHarvest,Farm Products,358.35M
APPN,Appian,Software,3.65B
APPS,Digital Turbine,Software,3.84B
APR,Apria,Medical Instruments &amp; Supplies,1.32B
APRE,Aprea Therapeutics,Biotechnology,49.37M
APRN,Blue Apron Holdings,Internet &amp; Direct Marketing Retail,250.39M
APSG,Apollo Strategic Growth Capital,Shell Companies,1.01B
APT,Alpha Pro Tech,Building Products,63.52M
APTM,Alpha Partners Technology Merger,Blank Check / SPAC,311.21M
APTO,Aptose Biosciences,Biotechnology,108.85M
APTS,Preferred Apartment Communities,"Equity Real Estate 
Investment Trusts...",898.50M
APTV,Aptiv,Auto Components,37.92B
APTX,Aptinyx,Biotechnology,193.67M
APVO,Aptevo Therapeutics,Biotechnology,28.85M
APWC,Asia Pacific Wire &amp; Cable,Electrical Equipment,19.35M
APYX,Apyx Medical,Health Care Equipment &amp; Supplies,360.27M
AQB,AquaBounty Technologies,Biotechnology,117.90M
AQMS,Aqua Metals,Commercial Services &amp; Supplies,61.86M
AQN,Algonquin Power &amp; Utilities,Multi-Utilities,9.47B
AQST,Aquestive Therapeutics,Pharmaceuticals,118.48M
AQUA,Evoqua Water Technologies,Machinery,4.72B
AR,Antero Resources,"Oil, Gas &amp; Consumable Fuels",5.33B
ARAV,Aravive,Biotechnology,46.92M
ARAY,Accuray,Health Care Equipment &amp; Supplies,368.22M
ARBE,Arbe Robotics,Software-Infrastructure,534.99M
ARBG,Aequi Acquisition,Blank Check / SPAC,280.89M
ARBK,Argo Blockchain,Capital Markets,547.28M
ARC,ARC Document Solutions,Commercial Services &amp; Supplies,146.62M
ARCB,ArcBest,Road &amp; Rail,2.17B
ARCC,Ares Capital,Capital Markets,10.02B
ARCE,Arco Platform,Diversified Consumer Services,1.12B
ARCH,Arch Resources,"Oil, Gas &amp; Consumable Fuels",1.40B
ARCK,Arbor Rapha Capital Bioholdings I,Blank Check / SPAC,186.56M
ARCO,Arcos Dorados Holdings,"Hotels, Restaurants &amp; Leisure",1.18B
ARCT,Arcturus Therapeutics Holdings,Biotechnology,648.20M
ARDS,Aridis Pharmaceuticals,Biotechnology,22.49M
ARDX,Ardelyx,Biotechnology,95.10M
ARE,Alexandria Real Estate Equities,"Equity Real Estate 
Investment Trusts...",31.43B
AREC,American Resources,"Oil, Gas &amp; Consumable Fuels",110.50M
ARES,Ares Management,Capital Markets,12.45B
ARGO,Argo Group International Holdings,Insurance,2.00B
ARGU,Argus Capital,Blank Check / SPAC,324.23M
ARGX,Argenx SE,Biotechnology,14.45B
ARHS,Arhaus,Home Improvement Retail,1.20B
ARI,Apollo Commercial Real Estate Finance,"Mortgage Real Estate Investment 
Trus...",1.86B
ARIS,Aris Water Solutions,Utilities-Regulated Water,264.88M
ARIZ,Arisz Acquisition,Blank Check / SPAC,78.65M
ARKO,ARKO Corp.,Grocery Stores,997.91M
ARKR,Ark Restaurants,"Hotels, Restaurants &amp; Leisure",59.35M
ARL,American Realty Investors,Real Estate Management &amp; Development,209.98M
ARLO,Arlo Technologies,"Electronic Equipment, Instruments &amp; C...",692.10M
ARLP,Alliance Resource Partners,"Oil, Gas &amp; Consumable Fuels",1.72B
ARMK,Aramark,"Hotels, Restaurants &amp; Leisure",8.74B
